userCode,age,company,gender,total_trips,avg_flight_price,avg_distance,avg_flight_time,avg_days,avg_hotel_price,total_trips_without_hotel_bookings,from_Aracaju (SE),from_Brasilia (DF),from_Campo Grande (MS),from_Florianopolis (SC),from_Natal (RN),from_Recife (PE),from_Rio de Janeiro (RJ),from_Salvador (BH),from_Sao Paulo (SP),to_Aracaju (SE),to_Brasilia (DF),to_Campo Grande (MS),to_Florianopolis (SC),to_Natal (RN),to_Recife (PE),to_Rio de Janeiro (RJ),to_Salvador (BH),to_Sao Paulo (SP),flightType_economic,flightType_firstClass,flightType_premium,agency_CloudFy,agency_FlyingDrops,agency_Rainbow,hotel_Hotel A,hotel_Hotel AF,hotel_Hotel AU,hotel_Hotel BD,hotel_Hotel BP,hotel_Hotel BW,hotel_Hotel CB,hotel_Hotel K,hotel_Hotel Z,place_Aracaju (SE),place_Brasilia (DF),place_Campo Grande (MS),place_Florianopolis (SC),place_Natal (RN),place_Recife (PE),place_Rio de Janeiro (RJ),place_Salvador (BH),place_Sao Paulo (SP),flight_year_2019.0,flight_year_2020.0,flight_year_2021.0,flight_year_2022.0,flight_year_2023.0,flight_month_1.0,flight_month_2.0,flight_month_3.0,flight_month_4.0,flight_month_5.0,flight_month_6.0,flight_month_7.0,flight_month_8.0,flight_month_9.0,flight_month_10.0,flight_month_11.0,flight_month_12.0,flight_is_weekend_False,flight_is_weekend_True,hotel_year_2019.0,hotel_year_2020.0,hotel_year_2021.0,hotel_year_2022.0,hotel_year_2023.0,hotel_month_1.0,hotel_month_2.0,hotel_month_3.0,hotel_month_4.0,hotel_month_5.0,hotel_month_6.0,hotel_month_7.0,hotel_month_8.0,hotel_month_9.0,hotel_month_10.0,hotel_month_11.0,hotel_month_12.0,hotel_is_weekend_False
0.0,21,4You,male,89,989.0661235955056,527.233595505618,1.3703370786516853,2.6296296296296298,225.7414814814815,62,33,36,8,12,13,35,8,18,15,33,36,8,12,13,35,8,18,15,44,88,46,78,32,68,6,8,4,8,2,4,2,14,6,6,2,4,6,8,4,2,14,8,28,105,45,0,0,19,16,16,18,17,11,9,9,10,18,18,17,136,42,10,36,8,0,0,2,4,0,4,10,4,4,2,4,10,4,6,178
1.0,37,4You,male,6,818.8983333333334,508.6483333333333,1.3216666666666663,1.0,193.36,4,4,2,0,1,0,2,0,1,2,4,2,0,1,0,2,0,1,2,4,2,6,8,2,2,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12
2.0,48,4You,female,131,906.9218320610688,513.6713740458015,1.3351908396946566,2.6944444444444446,210.05,95,56,56,12,14,19,50,22,19,14,56,56,12,14,19,50,22,19,14,88,98,76,112,24,126,12,4,6,4,4,14,6,10,12,12,4,14,12,4,6,6,10,4,28,105,104,25,0,27,25,24,18,18,16,19,17,19,28,25,26,197,65,8,30,24,10,0,10,8,6,8,2,0,10,2,2,6,8,10,262
3.0,23,4You,female,199,936.9138944723618,506.0743718592965,1.3151758793969848,2.3,217.0585,139,74,87,33,42,23,79,23,17,20,74,87,33,42,23,79,23,17,20,114,172,112,172,56,170,20,12,14,22,4,18,14,12,4,4,4,18,20,22,14,14,12,12,28,105,104,104,57,36,33,34,35,34,35,33,25,28,37,32,36,287,111,8,32,28,24,28,18,14,8,12,10,10,8,4,6,8,12,10,398
4.0,44,4You,female,199,957.3934170854272,517.9554773869347,1.345929648241206,2.571428571428572,214.94767857142853,143,73,75,16,28,21,104,32,25,24,73,75,16,28,21,104,32,25,24,96,180,122,164,60,174,14,12,14,10,6,12,22,14,8,8,6,12,14,10,14,22,14,12,28,105,104,104,57,36,32,35,37,33,34,33,25,28,36,33,36,300,98,6,28,26,36,16,12,8,16,12,6,8,6,4,8,8,14,10,398
6.0,46,4You,male,82,918.6263414634146,499.3307317073171,1.2974390243902438,2.5217391304347827,220.8913043478261,59,36,32,8,14,10,30,11,11,12,36,32,8,14,10,30,11,11,12,46,76,42,84,20,60,8,10,2,6,6,2,6,6,0,0,6,2,8,6,2,6,6,10,28,105,31,0,0,19,16,16,15,9,8,9,9,10,19,16,18,127,37,14,26,6,0,0,2,4,4,6,2,0,0,0,4,4,10,10,164
7.0,21,4You,female,52,905.2106730769232,456.74384615384616,1.1867307692307691,2.571428571428572,172.64285714285714,38,22,23,8,4,12,20,5,3,7,22,23,8,4,12,20,5,3,7,20,50,34,56,18,30,0,2,4,6,2,10,2,0,2,2,2,10,0,6,4,2,0,2,28,76,0,0,0,9,8,9,9,9,8,10,8,8,9,9,8,72,32,2,26,0,0,0,4,0,4,0,4,6,2,4,2,0,2,0,104
10.0,36,4You,male,64,894.22109375,495.8365625,1.28890625,2.647058823529412,215.82764705882357,47,27,25,7,9,8,30,8,9,5,27,25,7,9,8,30,8,9,5,32,48,48,52,18,58,4,0,0,4,8,6,4,8,0,0,8,6,4,4,0,4,8,0,28,100,0,0,0,9,9,8,9,9,8,9,9,10,18,17,13,100,28,6,28,0,0,0,0,2,2,2,2,4,0,4,4,6,4,4,128
11.0,61,4You,female,192,923.7963802083332,495.3915625,1.2876041666666669,2.4814814814814814,214.6433333333333,138,76,99,21,22,28,66,28,23,21,76,99,21,22,28,66,28,23,21,112,160,112,184,38,162,16,16,2,16,12,8,14,12,12,12,12,8,16,16,2,14,12,16,28,105,104,104,43,36,32,36,34,35,25,28,25,29,35,34,35,283,101,10,28,40,20,10,10,8,10,8,8,6,10,12,10,10,6,10,384
12.0,53,4You,male,70,926.8991428571428,479.5807142857143,1.2462857142857142,2.4615384615384617,220.04115384615383,44,26,37,13,4,8,27,12,8,5,26,37,13,4,8,27,12,8,5,36,62,42,70,22,48,4,6,8,8,2,2,12,4,6,6,2,2,4,8,8,12,4,6,28,105,7,0,0,16,8,9,9,9,8,9,9,10,19,16,18,105,35,10,40,2,0,0,4,4,2,6,2,6,4,4,6,6,2,6,140
