userCode,age,company,gender,total_trips,avg_flight_price,avg_distance,avg_flight_time,avg_days,avg_hotel_price,total_trips_without_hotel_bookings,from_Aracaju (SE),from_Brasilia (DF),from_Campo Grande (MS),from_Florianopolis (SC),from_Natal (RN),from_Recife (PE),from_Rio de Janeiro (RJ),from_Salvador (BH),from_Sao Paulo (SP),to_Aracaju (SE),to_Brasilia (DF),to_Campo Grande (MS),to_Florianopolis (SC),to_Natal (RN),to_Recife (PE),to_Rio de Janeiro (RJ),to_Salvador (BH),to_Sao Paulo (SP),flightType_economic,flightType_firstClass,flightType_premium,agency_CloudFy,agency_FlyingDrops,agency_Rainbow,hotel_Hotel A,hotel_Hotel AF,hotel_Hotel AU,hotel_Hotel BD,hotel_Hotel BP,hotel_Hotel BW,hotel_Hotel CB,hotel_Hotel K,hotel_Hotel Z,place_Aracaju (SE),place_Brasilia (DF),place_Campo Grande (MS),place_Florianopolis (SC),place_Natal (RN),place_Recife (PE),place_Rio de Janeiro (RJ),place_Salvador (BH),place_Sao Paulo (SP),flight_year_2019.0,flight_year_2020.0,flight_year_2021.0,flight_year_2022.0,flight_year_2023.0,flight_month_1.0,flight_month_2.0,flight_month_3.0,flight_month_4.0,flight_month_5.0,flight_month_6.0,flight_month_7.0,flight_month_8.0,flight_month_9.0,flight_month_10.0,flight_month_11.0,flight_month_12.0,flight_is_weekend_False,flight_is_weekend_True,hotel_year_2019.0,hotel_year_2020.0,hotel_year_2021.0,hotel_year_2022.0,hotel_year_2023.0,hotel_month_1.0,hotel_month_2.0,hotel_month_3.0,hotel_month_4.0,hotel_month_5.0,hotel_month_6.0,hotel_month_7.0,hotel_month_8.0,hotel_month_9.0,hotel_month_10.0,hotel_month_11.0,hotel_month_12.0,hotel_is_weekend_False
5.0,47,4You,none,64,1019.17203125,543.324375,1.41203125,2.076923076923077,209.59,51,26,26,10,7,6,23,7,14,9,26,26,10,7,6,23,7,14,9,26,60,42,58,20,50,2,6,0,2,0,2,2,10,2,2,0,2,2,2,0,2,10,6,28,100,0,0,0,9,8,9,9,8,9,10,8,10,18,17,13,96,32,2,24,0,0,0,2,6,2,0,2,0,2,2,4,2,2,2,128
8.0,41,4You,none,175,951.4083714285714,503.8594857142857,1.309257142857143,2.6153846153846154,224.97942307692307,123,81,73,25,21,26,68,18,20,18,81,73,25,21,26,68,18,20,18,88,154,108,156,46,148,12,8,16,24,8,12,8,6,10,10,8,12,12,24,16,8,6,8,28,105,104,104,9,37,24,25,27,26,25,28,25,29,36,32,36,263,87,10,22,36,36,0,12,6,4,6,6,10,16,12,8,8,10,6,350
9.0,35,4You,none,115,955.6922608695652,524.6291304347826,1.3631304347826083,2.84375,195.569375,83,46,41,18,11,13,54,11,20,16,46,41,18,11,13,54,11,20,16,62,106,62,104,28,98,6,6,6,2,6,16,6,12,4,4,6,16,6,2,6,6,12,6,28,105,97,0,0,18,16,17,18,17,17,18,18,19,28,25,19,173,57,10,28,26,0,0,8,4,0,6,2,4,10,4,6,14,4,2,230
13.0,36,4You,none,179,945.4478491620112,518.4516201117318,1.347094972067039,2.72,211.4266,129,87,71,23,22,20,77,16,23,19,87,71,23,22,20,77,16,23,19,92,152,114,162,50,146,4,4,12,10,6,16,12,22,14,14,6,16,4,10,12,12,22,4,28,105,104,105,16,35,32,26,26,27,25,27,26,28,36,34,36,265,93,14,28,36,18,4,18,0,4,4,10,6,6,10,6,12,14,10,358
17.0,25,4You,none,38,857.4298684210526,467.555,1.215,2.5,218.15375,30,16,18,2,1,7,14,9,2,7,16,18,2,1,7,14,9,2,7,32,32,12,24,14,38,0,4,2,2,4,0,0,0,4,4,4,0,0,2,2,0,0,4,28,48,0,0,0,9,8,9,9,9,4,0,0,2,9,9,8,57,19,2,14,0,0,0,4,0,0,4,4,2,0,0,0,0,0,2,76
18.0,65,4You,none,134,921.2725373134328,507.7088059701492,1.3193283582089552,2.25,220.061,94,53,50,15,16,19,59,19,21,16,53,50,15,16,19,59,19,21,16,82,122,64,84,36,148,20,10,2,10,4,12,4,14,4,4,4,12,20,10,2,4,14,10,28,105,104,31,0,27,25,25,23,18,16,19,17,19,27,25,27,199,69,6,32,34,8,0,12,8,8,6,6,4,4,4,12,8,8,0,268
31.0,40,4You,none,43,851.7816279069767,438.7302325581396,1.140232558139535,2.5,166.84916666666666,31,18,18,5,7,5,20,7,2,4,18,18,5,7,5,20,7,2,4,22,40,24,26,18,42,2,2,2,0,2,8,4,0,4,4,2,8,2,0,2,4,0,2,28,58,0,0,0,9,8,9,9,9,8,6,0,2,9,8,9,68,18,14,10,0,0,0,4,4,0,0,0,0,2,0,2,4,2,6,86
35.0,34,4You,none,46,885.5121739130434,461.16021739130434,1.1986956521739132,2.583333333333333,165.0325,34,21,18,6,3,12,18,11,1,2,21,18,6,3,12,18,11,1,2,22,44,26,32,22,38,0,4,0,4,4,6,4,0,2,2,4,6,0,4,0,4,0,4,28,64,0,0,0,9,8,9,9,9,8,9,3,2,9,8,9,68,24,6,18,0,0,0,4,0,2,4,2,2,4,0,0,4,0,2,92
36.0,56,4You,none,75,854.9008666666667,442.6494666666667,1.1504,2.75,192.0425,47,29,39,14,8,10,29,9,3,9,29,39,14,8,10,29,9,3,9,44,56,50,58,14,78,6,6,6,6,4,12,8,0,8,8,4,12,6,6,6,8,0,6,28,105,17,0,0,17,17,9,9,8,9,9,9,10,19,17,17,114,36,8,46,2,0,0,6,8,4,6,2,2,6,0,2,8,8,4,150
37.0,27,4You,none,14,783.5110714285714,503.5471428571428,1.3085714285714285,2.6666666666666665,177.28,11,7,6,2,3,2,4,2,1,1,7,6,2,3,2,4,2,1,1,16,6,6,14,4,10,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,9,21,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,28
